S	SRR8069701	SRR8069702	SRR8069703	SRR8069704	SRR8069705	SRR8069706	SRR8069707	SRR8069708	SRR8069709	SRR8069710	SRR8069711	SRR8069712	SRR8069713	SRR8069714	SRR8069715	SRR8069716	SRR8069717_kraken_paired_report.txt	SRR8069718	SRR8069719	SRR8069720	SRR8069721	SRR8069722	SRR8069723	SRR8069724	SRR8069725	SRR8069726	SRR8069727	SRR8069728	SRR8069729	SRR8069730	SRR8069731	SRR8069732	SRR8069733	SRR8069734	SRR8069735	SRR8069736	SRR8069737	SRR8069738	SRR8069739	SRR8069740	SRR8069741	SRR8069742	SRR8069743	SRR8069744_kraken_paired_report.txt	SRR8069745	SRR8069746	SRR8069747	SRR8069748	SRR8069749	SRR8069750	SRR8069751	SRR8069752	SRR8069753	SRR8069754	SRR8069755	SRR8069756	SRR8069757	SRR8069758	SRR8069759	SRR8069760	SRR8069761	SRR8069762	SRR8069763_kraken_paired_report.txt	SRR8069764	SRR8069765	SRR8069766	SRR8069767	SRR8069768	SRR8069769_kraken_paired_report.txt	SRR8069770	SRR8069771	SRR8069772	SRR8069773	SRR8069774	SRR8069775	SRR8069776	SRR8069777	SRR8069778	SRR8069779	SRR8069780	SRR8069781	SRR8069782
Pseudomonas pisciculturae	14	0	13	0	0	25	0	0	0	0	26	0	0	0	24	0	0	0	109	0	20	0	0	0	0	0	0	0	0	0	0	0	0	15	0	36	40	0	0	0	14	0	0	14	0	0	0	98	0	0	11	0	12	10	46	0	0	0	0	0	0	10	0	55	0	0	0	77	0	0	62	0	38	0	0	0	68	0	78	146	32	0
Pseudomonas edaphica	24	0	0	0	0	69	0	0	0	0	43	0	0	0	30	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	82	0	0	0	0	0	0	0	0	0	0	0	406	0	0	33	0	0	0	22	34	0	0	0	0	0	0	0	69	0	0	0	242	0	0	69	0	61	0	0	0	169	0	83	120	102	0
Pseudomonas psychrotolerans	13	0	0	0	0	14	37	0	15	0	15	31	0	0	0	0	0	0	98	0	82	0	0	0	0	23	0	0	0	0	0	0	23	22	0	29	57	17	0	24	0	0	16	14	10	0	0	52	0	15	0	0	0	0	16	18	25	13	0	0	0	0	0	21	0	0	0	34	0	12	25	0	42	11	12	12	31	0	59	77	29	11
Pseudomonas antarctica	12	0	0	0	0	51	0	0	0	0	12	0	0	0	16	0	0	0	221	0	40	0	0	0	0	0	0	0	0	0	0	0	16	10	0	43	32	0	0	0	12	0	0	18	0	0	0	196	0	0	15	0	0	0	16	30	0	0	0	0	0	0	0	54	0	0	0	129	0	0	38	0	79	0	0	0	123	0	69	111	73	0
Pseudomonas guineae	12	0	0	0	0	0	0	0	0	0	10	23	0	0	0	0	0	0	85	0	42	0	0	0	0	0	0	0	0	0	0	0	21	20	0	11	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	19	0	0	15	0	20	0	0	0	18	0	23	17	15	0
Pseudomonas otitidis	11	0	0	0	0	21	0	0	0	0	10	0	0	0	17	0	0	0	83	0	68	0	0	0	0	19	0	0	0	0	12	0	30	10	0	34	14	0	0	0	0	0	0	13	0	0	0	77	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0	17	0	1063	0	46	0	0	14	0	22	0	0	0	49	0	34	52	30	0
Pseudomonas benzenivorans	11	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	39	0	43	0	0	0	0	0	0	0	0	0	0	0	18	0	0	19	0	0	0	0	0	0	0	0	0	0	0	19	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	23	0	16	39	12	0
Pseudomonas umsongensis	11	0	11	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	68	0	50	0	0	0	0	15	0	0	0	0	0	0	19	21	0	27	10	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	25	0	0	0	37	0	0	10	0	14	0	0	0	35	0	19	46	30	0
Pseudomonas alkylphenolica	10	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	75	0	39	0	0	0	0	0	0	0	0	0	0	0	19	16	0	13	0	0	0	0	0	0	0	10	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	12	0	0	0	0	31	0	0	0	20	0	16	30	16	0
Pseudomonas campi	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	25	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	22	0	0	0	0	0	0	0	0	15	0	0	10	0	0
Azomonas agilis	18	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	62	0	10	0	0	0	0	0	0	0	0	0	0	0	18	17	0	17	28	0	0	0	0	0	11	0	0	0	0	50	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	22	0	0	0	35	0	0	30	0	0	0	0	0	22	0	26	26	15	0
Azotobacter beijerinckii	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	56	0	0	0	0	0	0	0	0	0	0	0	36	11	0	21	14	0	0	0	0	0	11	0	0	0	0	36	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	29	0	0	0	64	0	0	23	0	22	0	0	0	19	0	40	40	21	0
Denitrificimonas caeni	12	0	33	0	0	16	0	0	0	0	0	71	0	10	10	0	0	0	66	0	233	0	0	0	0	0	0	0	0	0	0	0	86	0	0	11	0	0	0	0	0	0	52	0	20	0	0	31	16	20	0	0	0	0	0	0	0	12	0	0	0	0	0	12	0	0	36	0	0	31	0	0	11	58	0	0	33	0	0	26	0	0
Halopseudomonas xinjiangensis	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	17	0	0	0	0	0	0	0	0	0	0	0	0	11	0	26	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	16	0	0	0	10	0	16	26	0	0
Marinobacter orientalis	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	15	0	0	0	0	0	12	0	0	0	0	0
Acinetobacter baumannii	52903	3174	23782	3020	4404	39471	8298	1164	19843	0	79355	23459	2819	2470	46926	1314	1297	65	362986	9495	143500	30533	19295	2903	3467	18818	4788	1648	419	2307	232	5517	61534	47097	1365	117106	41575	6962	5856	20779	14696	75	22772	5607	15801	8175	113	67414	12922	10200	25801	10551	21625	10766	42991	33916	66640	12071	16414	1416	4728	10119	292	54422	12423	5483	11959	91839	2746	13337	72535	3558	85136	17867	1804	2554	151188	2691	103631	145403	71000	10401
Acinetobacter nosocomialis	222	17	101	0	11	199	16	0	10	0	178	80	0	0	217	0	17	0	2268	46	701	81	51	0	11	45	19	0	0	0	0	24	266	239	0	611	189	17	0	95	47	0	96	79	49	19	0	536	46	44	109	21	53	75	270	175	150	50	39	0	0	45	0	335	19	19	40	555	0	53	465	14	399	73	0	0	903	0	474	790	351	56
Acinetobacter pittii	73	14	33	0	0	87	0	0	0	0	49	46	0	0	56	0	0	0	580	11	78	182	55	0	0	30	0	0	0	0	0	0	76	71	0	190	47	0	37	46	23	0	13	65	13	0	0	278	24	0	48	0	27	29	48	67	41	0	0	0	0	18	0	102	0	0	34	196	0	0	171	0	64	0	0	0	192	0	144	270	122	32
Acinetobacter calcoaceticus	30	0	0	0	0	16	0	0	0	0	11	37	0	0	28	0	10	0	322	0	47	0	0	0	0	11	0	0	0	0	0	0	15	21	0	102	29	0	0	24	12	0	0	25	0	0	0	110	0	0	16	0	14	11	17	19	16	0	0	0	0	0	0	64	0	0	0	91	0	0	51	0	22	0	0	0	108	0	59	119	57	0
Acinetobacter seifertii	16	0	0	0	0	63	0	0	0	0	16	37	0	0	57	0	0	0	751	0	19	0	0	0	0	18	0	0	0	0	0	0	0	38	0	135	0	0	0	0	13	0	0	36	0	0	0	201	0	0	33	0	12	0	0	93	31	0	0	0	0	18	0	131	0	0	0	137	0	0	200	0	80	0	0	0	252	0	156	80	82	0
Acinetobacter sp. AR2-3	3066	132	1373	142	211	2096	314	0	248	0	2666	1151	108	96	2851	0	42	0	18988	568	8410	1257	573	38	210	744	253	71	0	104	0	231	3692	3070	0	7578	2448	292	269	944	537	0	1363	219	882	295	0	4243	565	597	1555	399	479	617	2625	2277	2186	631	558	82	99	465	0	3242	143	39	485	5074	0	788	3496	163	5354	960	52	28	7924	113	6071	8773	4304	514
Acinetobacter sp. ANC 3862	22	0	0	0	0	20	0	0	0	0	33	0	0	0	22	0	0	0	292	0	31	0	0	0	0	13	0	0	0	0	0	0	0	32	0	111	18	0	0	0	10	0	0	22	0	0	0	147	0	0	0	0	10	0	16	38	17	11	0	0	0	0	0	61	0	0	0	73	0	0	76	0	26	0	0	0	101	0	55	45	49	0
Acinetobacter sp. TTH0-4	20	0	0	0	0	37	0	0	0	0	26	20	0	0	71	0	0	0	251	0	0	0	12	0	0	0	0	0	0	0	0	0	0	43	0	46	27	0	0	0	0	0	0	13	0	0	0	19	0	0	14	0	0	0	13	37	0	0	0	0	0	0	0	27	0	0	0	83	0	0	10	0	34	0	0	0	116	0	34	56	40	0
Acinetobacter sp. NIPH 2100	14	0	0	0	0	11	0	0	0	0	0	0	0	0	11	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	30	12	0	0	0	0	0	0	0	0	0	0	66	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	12	0	0	12	0	0	0	0	0	25	0	26	24	19	0
Acinetobacter sp. SA01	12	0	0	0	0	19	0	0	0	0	25	39	0	12	18	0	0	0	69	0	17	0	0	0	0	0	0	0	0	0	0	0	0	21	0	21	10	0	0	16	10	0	0	0	0	0	0	29	0	0	11	0	18	0	0	0	0	0	0	0	10	0	0	50	28	0	0	19	0	0	22	0	0	0	0	0	18	0	0	21	18	0
Acinetobacter sp. NIPH 1867	11	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	10	0	0	0	0	0	0	0	0	17	0	0	0	0	0
Acinetobacter sp. CIP 102129	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	18	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	33	0	0
Acinetobacter tjernbergiae	720	71	0	38	22	900	17	0	0	0	519	61	0	0	912	0	253	0	10659	0	25	0	0	0	13	22	91	0	0	15	0	0	20	1054	0	3264	630	0	16	232	276	0	0	590	0	55	0	4377	0	0	548	0	279	182	684	1052	538	112	0	16	0	253	0	2419	0	0	34	2916	0	0	2544	77	1575	0	10	0	3179	32	1477	2148	1942	104
Acinetobacter bereziniae	212	14	92	0	30	153	34	0	25	0	201	122	0	0	233	23	0	0	3015	56	633	43	55	0	14	129	13	0	0	0	0	34	308	249	0	512	218	35	15	98	53	0	114	21	92	28	0	340	91	61	102	56	38	48	185	178	190	44	38	0	0	25	0	266	20	0	43	365	0	68	603	0	348	81	0	0	1304	10	476	612	322	41
Acinetobacter soli	117	0	50	0	13	88	22	0	16	0	131	48	0	0	117	0	0	0	756	40	379	48	21	0	0	49	12	0	0	0	0	0	152	145	0	316	99	16	11	48	32	0	64	14	40	15	0	199	24	22	80	0	23	17	107	101	108	22	26	0	0	30	0	160	11	0	21	224	0	31	139	0	257	26	0	0	266	0	213	341	182	20
Acinetobacter johnsonii	85	22	61	0	54	93	16	0	386	0	913	292	38	10	151	51	23	0	844	162	505	0	114	0	0	173	32	21	15	0	0	55	902	189	44	342	109	19	16	363	34	29	38	75	161	13	25	640	156	19	91	38	24	80	325	85	644	499	197	12	24	37	0	242	29	95	114	447	32	33	316	29	502	57	0	0	329	12	221	642	187	33
Acinetobacter bohemicus	72	10	138	0	0	86	0	0	0	0	49	289	0	0	158	0	23	0	903	0	163	0	51	0	0	85	0	0	0	0	0	37	23	57	0	496	77	10	20	28	63	0	19	90	13	12	0	297	15	0	69	0	53	0	153	97	58	67	0	0	0	43	0	248	0	0	41	211	0	172	228	0	165	0	0	0	455	0	171	191	413	12
Acinetobacter ursingii	69	0	20	0	0	50	13	0	0	0	127	33	0	28	91	0	0	0	402	49	338	62	23	0	0	85	0	0	0	0	0	28	133	59	0	114	56	11	13	63	0	0	39	26	40	0	0	199	28	23	59	15	0	29	44	75	36	54	18	0	0	11	0	78	0	0	35	241	0	15	104	0	164	26	0	0	199	0	123	179	107	22
Acinetobacter junii	43	0	25	47	25	195	0	0	0	0	52	73	0	0	134	0	18	0	738	224	659	0	713	0	0	12629	17	0	0	0	38	28	1091	128	0	228	92	0	33	84	28	0	27	75	298	10	0	779	306	18	67	49	63	111	341	97	60	153	11	19	14	11	39	126	22	179	86	264	0	12	328	0	145	21	0	0	286	0	184	369	92	88
Acinetobacter sp. SFB	24	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	70	0	91	0	20	0	0	0	0	0	0	0	0	0	20	0	0	13	12	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	32	0	0	0	35	0	16	0	0	15	0	0	0	26	0	10	20	25	0
Acinetobacter terrae	15	0	25	0	0	14	0	0	32	0	37	261	0	0	23	10	0	0	108	0	144	0	33	0	0	0	0	0	0	0	0	0	52	0	16	62	71	0	0	28	0	0	0	12	0	0	0	28	0	0	11	0	0	0	0	16	78	66	14	0	0	0	0	17	0	0	17	74	0	31	0	0	0	0	0	0	63	0	41	34	33	0
Acinetobacter indicus	39	0	14	0	0	36	0	0	0	0	20	81	0	0	31	0	17	0	292	24	72	17	18	0	0	63	0	0	0	0	0	0	28	45	0	78	33	0	0	33	17	0	19	40	10	0	0	101	25	0	31	0	0	12	39	35	51	49	0	0	0	23	0	74	0	0	22	129	0	0	73	0	44	22	0	0	159	0	74	92	62	16
Acinetobacter venetianus	32	0	0	0	0	28	0	0	0	0	27	38	0	0	20	0	0	0	286	0	25	0	0	0	0	48	0	0	0	0	0	0	23	35	0	66	37	0	0	0	0	0	0	28	0	0	0	85	0	0	0	0	0	0	71	27	22	0	0	0	0	0	0	58	0	0	0	59	0	0	76	0	31	0	0	0	73	0	49	65	37	0
Acinetobacter beijerinckii	27	0	0	0	0	33	0	0	0	0	23	38	0	0	49	0	0	0	381	0	21	0	0	0	0	18	0	0	0	0	0	0	0	62	0	102	0	0	0	0	15	0	0	35	0	0	0	123	0	0	25	0	0	0	23	44	11	17	0	0	0	17	0	100	0	0	0	89	0	0	65	0	20	0	0	0	111	0	60	103	26	0
Acinetobacter piscicola	21	0	0	0	0	33	0	0	0	0	12	34	0	0	17	0	0	0	254	0	31	0	0	0	0	0	0	0	0	0	0	0	13	33	0	69	17	0	0	14	0	0	0	25	0	0	0	86	0	0	17	0	0	16	0	30	12	11	0	0	0	0	0	37	0	0	0	29	0	0	85	0	22	0	0	0	100	0	28	69	36	0
Acinetobacter guillouiae	16	0	0	0	0	33	0	0	0	0	0	20	0	0	0	0	0	0	138	0	22	0	52	0	0	0	0	0	0	0	0	0	22	19	0	41	10	0	0	0	0	0	0	21	10	0	0	131	14	0	12	115	0	0	38	57	16	0	0	0	0	0	0	51	0	26	10	81	0	0	22	0	61	0	0	0	137	0	77	95	31	0
Acinetobacter proteolyticus	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	11	0	10	0	0	0
Acinetobacter lwoffii	19	0	62	0	0	39	35	0	0	0	36	108	0	0	34	0	0	0	252	45	113	0	47	0	0	34	0	0	0	0	0	0	98	60	0	65	28	0	0	46	0	0	13	25	0	0	0	109	33	0	14	0	11	21	55	33	34	43	0	28	0	0	0	82	0	27	82	175	0	0	102	0	69	24	0	0	122	0	14	126	41	18
Acinetobacter wanghuae	12	0	0	0	0	0	0	0	0	0	10	29	0	0	0	0	0	0	86	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	18	0	62	0	0	0	0	14	0	0	0	19	0	0	13	0	19	0	0	0	22	0	14	23	10	16
Acinetobacter shaoyimingii	12	0	0	0	0	0	0	0	0	0	15	15	0	0	13	0	0	0	118	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	19	0	0	0	0	0	0	12	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	67	0	0	30	0	12	0	0	0	21	0	16	18	15	0
Acinetobacter gyllenbergii	10	0	0	0	0	11	0	0	0	0	0	0	0	0	20	0	0	0	99	0	11	0	61	0	0	10	0	0	0	0	0	0	14	23	0	20	28	0	0	17	0	0	0	0	0	0	0	53	0	0	0	120	0	10	32	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	35	13	22	0	0	0	39	0	0	38	12	0
Moraxella osloensis	66	0	49	0	0	67	23	0	0	0	118	155	0	183	111	0	0	13	488	282	456	10	689	0	12	495	77	16	0	13	13	40	243	308	0	175	2248	12	41	301	65	0	352	69	171	27	0	187	57	34	58	12	63	80	1368	108	257	256	94	13	74	28	0	494	161	341	61	324	0	31	413	0	260	136	0	0	101	0	276	644	94	228
Moraxella catarrhalis	40	0	0	0	0	39	0	0	0	0	0	0	0	0	36	0	0	0	348	0	68	48	0	0	0	298	0	0	0	0	0	0	0	45	0	78	0	0	0	0	0	0	0	45	0	0	0	268	0	0	0	0	23	0	0	61	0	0	0	0	0	0	0	66	0	0	0	179	0	0	87	0	97	0	0	0	133	0	79	146	53	0
Psychrobacter proteolyticus	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquirhabdus parva	16	0	0	0	0	17	0	0	0	0	0	30	0	0	14	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	50	13	0	0	0	13	0	0	23	0	0	0	84	0	0	0	0	0	0	0	27	19	0	0	0	0	0	0	36	0	0	0	57	0	0	43	0	30	0	0	0	62	0	28	45	25	0
Alkanindiges illinoisensis	13	0	0	0	0	20	0	0	0	0	10	18	0	0	11	0	0	0	124	0	39	0	0	0	0	0	0	0	0	0	0	0	19	0	0	42	23	0	0	0	12	0	0	11	0	0	0	81	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	46	0	0	0	44	0	0	32	0	57	0	0	0	56	0	21	50	26	10
Xanthomonas fragariae	4561	183	2378	239	565	3225	904	0	578	0	4318	2315	258	204	3604	0	48	0	39972	1047	14354	1928	612	71	372	1124	399	125	0	232	0	975	6430	6452	0	9645	3640	1017	353	1552	869	0	3724	327	1755	513	0	6160	1216	1165	2252	737	710	905	3392	4766	3448	765	1043	129	173	820	24	3869	272	74	881	7189	0	2457	7362	265	7428	1868	129	69	16701	224	9159	12864	6251	727
Xanthomonas citri	1299	31	5434	46	57	1033	154	0	76	0	910	573	24	47	942	0	0	0	11245	306	10617	795	175	0	83	220	130	0	0	59	0	789	2188	1114	0	2576	2053	127	162	357	279	0	5048	203	593	164	0	1674	235	1481	978	93	219	336	1184	752	750	208	1286	35	110	224	0	991	31	0	561	2379	0	3116	1980	80	2384	2044	0	0	4966	49	2790	5092	1996	186
Xanthomonas arboricola	1320	73	1760	59	88	1011	316	0	153	0	1187	599	62	64	886	0	67	0	9544	395	5479	530	191	22	90	355	124	25	0	51	0	395	1808	1299	0	2609	1283	259	143	489	257	0	2398	126	504	145	0	1740	316	650	754	228	219	279	899	915	996	274	552	40	78	273	0	1123	55	0	366	2287	0	1180	1762	84	2058	945	39	33	3939	56	2857	3848	1620	204
Xanthomonas campestris	413	12	250409	27	27	408	104	0	231	0	837	288	22	18	315	13	17	17	3321	121	172495	106	114	0	41	162	39	18	0	32	0	34537	727	490	18	891	19550	97	45	261	113	0	311285	158	293	63	0	651	121	59804	2672	67	92	195	604	324	484	74	36130	18	611	99	0	360	23	145	4160	812	0	118700	693	30	842	83057	0	87	1460	27	1028	1473	573	117
Xanthomonas hortorum	189	14	1426	0	21	107	97	0	1302	0	2185	103	54	11	96	78	0	0	637	59	1392	63	29	0	31	55	0	42	26	29	0	188	314	128	176	184	262	89	66	112	25	0	1686	28	103	15	0	220	34	282	98	62	21	35	137	101	3230	43	785	0	16	125	0	112	13	288	132	251	106	636	147	11	239	765	0	0	260	18	320	445	304	33
Xanthomonas oryzae	148	0	179	0	10	113	69	0	24	0	108	64	0	0	107	0	0	0	576	39	536	110	34	0	20	35	0	0	0	13	0	36	168	108	0	278	129	41	26	75	27	0	193	12	75	12	0	152	33	71	100	51	0	28	102	85	108	19	52	0	0	32	0	109	0	12	57	259	0	99	125	0	233	85	0	0	256	0	307	370	190	30
Xanthomonas dyei	112	0	325	0	0	78	17	0	14	0	90	70	0	0	72	0	0	0	821	21	663	23	16	0	0	33	0	0	0	0	0	38	162	93	0	207	145	25	0	38	29	0	320	15	52	18	0	151	27	109	52	22	18	17	113	92	101	20	60	0	0	35	0	89	0	0	39	209	0	167	158	0	224	189	0	0	376	0	252	349	132	26
Xanthomonas translucens	23	0	66	0	0	41	0	0	48	0	158	61	0	0	26	22	0	0	183	0	227	0	0	0	0	15	0	0	0	0	0	20	70	54	13	55	18	0	0	30	0	0	92	30	0	12	0	128	0	35	26	0	16	20	12	25	121	11	49	0	0	0	0	30	0	0	13	96	0	48	45	0	106	18	0	0	109	0	75	209	72	0
Xanthomonas sp. GW	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	37	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	25	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	66	0	0
Xanthomonas albilineans	15	0	14	0	0	16	0	0	0	0	17	0	0	0	0	0	0	0	68	0	35	0	0	0	0	0	0	0	0	0	0	0	14	21	0	14	29	0	0	0	0	0	16	12	11	0	0	49	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	14	0	0	0	47	0	0	18	0	37	0	0	0	38	0	36	86	40	0
Stenotrophomonas maltophilia	1797	199	1303	95	461	2928	278	0	1032	0	3553	1366	66	81	2271	95	352	0	27419	345	7899	503	157	31	96	773	206	111	19	73	0	394	2733	2318	123	6391	1883	146	334	6083	560	0	1088	1091	765	218	13	7424	1451	548	1663	111	347	1421	1715	1817	3735	508	997	55	201	549	0	6226	203	556	547	6562	70	693	5943	527	4931	1042	44	78	11817	249	4876	8096	5058	3547
Stenotrophomonas sp. W1S232	33	0	15	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	42	0	29	0	0	0	0	0	0	0	0	0	0	0	65	19	0	13	13	0	0	0	0	0	0	0	0	0	0	39	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	40	0	0	14	0	26	0	0	0	15	0	18	53	10	0
Stenotrophomonas sp. SKA14	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stenotrophomonas sp. Leaf70	14	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	32	0	48	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	26	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	22	0	0	0	0	0	35	23	19	0
Stenotrophomonas rhizophila	39	0	29	0	0	46	0	0	0	0	29	54	0	0	13	0	0	0	89	0	147	0	0	0	0	0	0	0	0	0	0	0	134	71	0	43	23	0	0	48	15	0	41	19	30	0	0	86	0	29	0	0	0	16	17	16	272	0	0	0	0	0	0	31	0	0	18	123	0	16	0	0	41	16	0	0	33	0	31	171	33	15
Stenotrophomonas bentonitica	15	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	44	0	32	0	0	0	0	0	0	0	0	0	0	0	19	0	0	17	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	14	19	0	0
Stenotrophomonas acidaminiphila	20	0	33	0	0	15	0	0	0	0	18	0	0	0	0	0	0	0	109	0	69	0	0	0	0	0	0	0	0	0	0	0	68	0	0	20	31	0	0	0	0	0	19	0	0	0	0	68	18	0	18	0	0	0	0	26	0	0	0	0	0	0	0	25	0	17	23	90	0	0	15	0	32	24	0	0	43	0	58	115	28	0
Lysobacter sp. CJ11	26	0	23	0	0	44	0	0	0	0	31	0	0	0	25	0	0	0	89	0	63	0	0	0	0	0	0	0	0	0	0	0	41	47	0	36	34	0	0	0	19	0	24	0	0	0	0	104	46	0	0	0	18	0	0	12	12	0	0	0	0	0	0	24	0	0	42	106	0	21	29	0	36	0	0	0	23	0	40	90	34	0
Lysobacter sp. CW239	44	0	27	0	0	22	0	0	0	0	29	0	0	0	0	0	0	0	99	0	81	0	0	0	0	0	0	0	0	0	0	0	76	53	0	24	47	0	0	0	0	0	29	0	0	0	0	93	0	0	0	0	26	0	40	36	24	0	0	0	0	0	0	59	0	0	0	56	0	0	44	0	42	16	0	0	56	0	31	73	64	0
Lysobacter sp. WF-2	15	0	27	0	0	26	0	0	0	0	10	0	0	0	0	0	0	0	65	0	63	0	0	0	0	0	0	0	0	0	0	0	53	36	0	34	23	0	0	0	0	0	0	0	0	0	0	74	0	15	11	0	0	0	20	0	23	0	0	0	0	0	0	21	0	0	0	63	0	11	22	0	23	12	0	0	27	0	30	108	26	0
Lysobacter sp. Root690	19	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	34	0	33	0	0	0	0	0	0	0	0	0	0	0	40	24	0	0	0	0	0	0	0	0	23	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	22	0	0	0	0	0	0	0	0	0	73	21	0
Lysobacter sp. HDW10	10	0	0	0	0	27	0	0	0	0	12	16	0	0	19	0	0	0	73	0	22	0	0	0	0	0	0	0	0	0	0	0	39	18	0	17	0	0	0	0	0	0	18	0	0	0	0	47	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	23	0	0	0	90	0	0	17	0	21	12	0	0	54	0	20	67	27	0
Lysobacter oculi	55	0	99	20	0	110	0	0	0	0	114	0	0	18	24	0	43	0	325	22	213	0	25	0	0	38	27	0	0	0	0	40	167	117	0	98	175	0	0	0	18	0	95	37	42	14	0	399	28	28	24	0	31	0	26	57	51	19	44	0	0	13	0	104	0	0	30	296	0	70	87	0	102	43	0	0	148	0	176	473	94	0
